transport,sequence,latency_ms,accepted,mean_ms,median_ms,stddev_ms,p95_ms
gRPC,65,22.009052,true,24.708190,22.847667,6.166322,38.863600
gRPC,66,23.261734,true,24.708190,22.847667,6.166322,38.863600
gRPC,67,22.072575,true,24.708190,22.847667,6.166322,38.863600
gRPC,68,19.989360,true,24.708190,22.847667,6.166322,38.863600
gRPC,69,24.452055,true,24.708190,22.847667,6.166322,38.863600
gRPC,70,21.378620,true,24.708190,22.847667,6.166322,38.863600
gRPC,71,25.327747,true,24.708190,22.847667,6.166322,38.863600
gRPC,72,22.222090,true,24.708190,22.847667,6.166322,38.863600
gRPC,73,22.686243,true,24.708190,22.847667,6.166322,38.863600
gRPC,74,22.128629,true,24.708190,22.847667,6.166322,38.863600
gRPC,75,20.808830,true,24.708190,22.847667,6.166322,38.863600
gRPC,76,22.270266,true,24.708190,22.847667,6.166322,38.863600
gRPC,77,23.571502,true,24.708190,22.847667,6.166322,38.863600
gRPC,78,22.090506,true,24.708190,22.847667,6.166322,38.863600
gRPC,79,22.397912,true,24.708190,22.847667,6.166322,38.863600
gRPC,80,47.102848,true,24.708190,22.847667,6.166322,38.863600
gRPC,81,49.930515,true,24.708190,22.847667,6.166322,38.863600
gRPC,82,33.950241,true,24.708190,22.847667,6.166322,38.863600
gRPC,83,43.913156,true,24.708190,22.847667,6.166322,38.863600
gRPC,84,46.916828,true,24.708190,22.847667,6.166322,38.863600
gRPC,85,31.423721,true,24.708190,22.847667,6.166322,38.863600
gRPC,86,22.174121,true,24.708190,22.847667,6.166322,38.863600
gRPC,87,18.803008,true,24.708190,22.847667,6.166322,38.863600
gRPC,88,18.845335,true,24.708190,22.847667,6.166322,38.863600
gRPC,89,20.956611,true,24.708190,22.847667,6.166322,38.863600
gRPC,90,19.546757,true,24.708190,22.847667,6.166322,38.863600
gRPC,91,20.696564,true,24.708190,22.847667,6.166322,38.863600
gRPC,92,21.807155,true,24.708190,22.847667,6.166322,38.863600
gRPC,93,23.547553,true,24.708190,22.847667,6.166322,38.863600
gRPC,94,18.966840,true,24.708190,22.847667,6.166322,38.863600
gRPC,95,23.097441,true,24.708190,22.847667,6.166322,38.863600
gRPC,96,21.363354,true,24.708190,22.847667,6.166322,38.863600
gRPC,97,22.184815,true,24.708190,22.847667,6.166322,38.863600
gRPC,98,24.060131,true,24.708190,22.847667,6.166322,38.863600
gRPC,99,37.214548,true,24.708190,22.847667,6.166322,38.863600
gRPC,100,44.614440,true,24.708190,22.847667,6.166322,38.863600
