fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,2pc,200,1,60.0,300.0,0.1,5.0,200,200,1520,667,0.438816,472,292,180,0.618644,"{""0"": 124, ""200"": 673, ""201"": 181, ""401"": 14, ""500"": 116, ""503"": 413}",46000,90000,90000,3.8613549058791703,0.0,0.8,86.93,92.14,False,,1788686477.354,395.415
timing,2pc,400,1,60.0,300.0,0.1,5.0,400,400,5036,4040,0.802224,448,405,43,0.904018,"{""0"": 3610, ""200"": 953, ""201"": 44, ""401"": 177, ""500"": 63, ""503"": 191}",17000,83000,90000,12.76842667444184,0.0,0.0,107.02,112.39,False,,1788687343.604,396.314
none,saga,50,1,60.0,300.0,0.0,5.0,50,50,886,55,0.062077,398,19,379,0.047739,"{""200"": 452, ""201"": 383, ""503"": 55}",18000,30000,37000,2.633923035648118,0.0,0.0,74.78,76.55,False,,1788687922.807,338.87
none,saga,100,1,60.0,300.0,0.0,5.0,100,100,1048,55,0.052481,454,19,435,0.04185,"{""200"": 558, ""201"": 439, ""500"": 2, ""503"": 53}",32000,56000,70000,2.986122287545408,0.6,104.2,79.13,81.76,False,,1788688507.768,353.417
none,saga,200,1,60.0,300.0,0.0,5.0,200,200,1485,328,0.220875,593,230,363,0.387858,"{""0"": 46, ""200"": 794, ""201"": 364, ""401"": 16, ""409"": 5, ""500"": 94, ""503"": 167}",48000,85000,90000,3.936699479248818,0.52,97.7,86.63,91.43,False,,1788689200.693,380.471
none,saga,400,1,60.0,300.0,0.0,5.0,400,400,3524,2425,0.688138,420,378,42,0.9,"{""0"": 2109, ""200"": 1057, ""201"": 42, ""401"": 164, ""500"": 60, ""503"": 92}",17000,92000,92000,8.94078703951537,0.0,0.0,105.95,112.57,False,,1788690052.971,396.431
omission,saga,50,1,60.0,300.0,0.1,5.0,50,50,991,46,0.046418,470,46,424,0.097872,"{""200"": 521, ""201"": 424, ""500"": 47}",15000,27000,33000,3.0226777629101598,0.0,0.0,74.98,76.86,False,,1788690617.281,329.754
omission,saga,100,1,60.0,300.0,0.1,5.0,100,100,1026,46,0.044834,461,43,418,0.093275,"{""200"": 562, ""201"": 418, ""500"": 44, ""503"": 3}",32000,55000,64000,2.9439215614908227,0.6,104.2,78.83,81.27,False,,1788691191.024,352.681
omission,saga,200,1,60.0,300.0,0.1,5.0,200,200,1492,380,0.254692,596,281,315,0.471477,"{""0"": 33, ""200"": 797, ""201"": 315, ""401"": 12, ""500"": 180, ""503"": 156}",45000,83000,90000,4.040562213702528,0.0,0.0,86.54,91.83,False,,1788691872.795,371.471
omission,saga,400,1,60.0,300.0,0.1,5.0,400,400,3637,2534,0.696728,387,329,58,0.850129,"{""0"": 2116, ""200"": 1045, ""201"": 58, ""401"": 167, ""500"": 47, ""503"": 204}",17000,90000,92000,9.218941565480415,0.5,97.7,106.32,112.07,False,,1788692718.859,396.202
