fallo,coord,concurrencia,repeticiones_total,metrica,unidad,n_valido,mediana,ic95_inf,ic95_sup,metodo_ic95,estado
omission,2pc,100,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
omission,saga,100,5,latencia_p95_ms,ms,5,60000.0,55000.0,82000.0,bootstrap_percentil_20000,calculado
omission,saga,100,5,throughput_rps,requests/s,5,2.711692,2.21891,2.943922,bootstrap_percentil_20000,calculado
omission,saga,100,5,tasa_confirmacion_checkout,proporcion,5,0.884368,0.806147,0.911765,bootstrap_percentil_20000,calculado
omission,saga,100,5,tasa_abortos_checkout,proporcion,5,0.115632,0.088235,0.193853,bootstrap_percentil_20000,calculado
omission,saga,100,5,inconsistencias,ordenes_o_eventos,5,49.0,45.0,444.0,bootstrap_percentil_20000,calculado
omission,saga,100,5,tasa_inconsistencia,proporcion,5,0.138889,0.106061,1.0,bootstrap_percentil_20000,calculado
omission,saga,100,5,convergencia_compensacion_ms,ms,3,19531950.862,9209126.188,28038211.801,bootstrap_percentil_20000,calculado
omission,2pc,200,5,latencia_p95_ms,ms,5,90000.0,90000.0,90000.0,bootstrap_percentil_20000,calculado
omission,2pc,200,5,throughput_rps,requests/s,5,3.659513,3.520051,4.068127,bootstrap_percentil_20000,calculado
omission,2pc,200,5,tasa_confirmacion_checkout,proporcion,5,0.366606,0.293869,0.422222,bootstrap_percentil_20000,calculado
omission,2pc,200,5,tasa_abortos_checkout,proporcion,5,0.633394,0.577778,0.706131,bootstrap_percentil_20000,calculado
omission,2pc,200,5,inconsistencias,ordenes_o_eventos,5,122.0,112.0,138.0,bootstrap_percentil_20000,calculado
omission,2pc,200,5,tasa_inconsistencia,proporcion,5,0.306329,0.272321,0.39881,bootstrap_percentil_20000,calculado
omission,2pc,200,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
omission,saga,200,5,latencia_p95_ms,ms,5,86000.0,83000.0,90000.0,bootstrap_percentil_20000,calculado
omission,saga,200,5,throughput_rps,requests/s,5,3.938606,3.747854,4.040562,bootstrap_percentil_20000,calculado
omission,saga,200,5,tasa_confirmacion_checkout,proporcion,5,0.416667,0.38574,0.528523,bootstrap_percentil_20000,calculado
omission,saga,200,5,tasa_abortos_checkout,proporcion,5,0.583333,0.471477,0.61426,bootstrap_percentil_20000,calculado
omission,saga,200,5,inconsistencias,ordenes_o_eventos,5,193.0,147.0,409.0,bootstrap_percentil_20000,calculado
omission,saga,200,5,tasa_inconsistencia,proporcion,5,0.448837,0.308176,1.0,bootstrap_percentil_20000,calculado
omission,saga,200,5,convergencia_compensacion_ms,ms,3,21126098.912,11148292.912,29167037.291,bootstrap_percentil_20000,calculado
omission,2pc,400,5,latencia_p95_ms,ms,5,92000.0,90000.0,92000.0,bootstrap_percentil_20000,calculado
omission,2pc,400,5,throughput_rps,requests/s,5,8.866954,8.013439,10.382688,bootstrap_percentil_20000,calculado
omission,2pc,400,5,tasa_confirmacion_checkout,proporcion,5,0.089783,0.012295,0.183051,bootstrap_percentil_20000,calculado
omission,2pc,400,5,tasa_abortos_checkout,proporcion,5,0.910217,0.816949,0.987705,bootstrap_percentil_20000,calculado
omission,2pc,400,5,inconsistencias,ordenes_o_eventos,5,75.0,62.0,177.0,bootstrap_percentil_20000,calculado
omission,2pc,400,5,tasa_inconsistencia,proporcion,5,0.348315,0.254237,0.675573,bootstrap_percentil_20000,calculado
omission,2pc,400,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
omission,saga,400,5,latencia_p95_ms,ms,5,92000.0,90000.0,92000.0,bootstrap_percentil_20000,calculado
omission,saga,400,5,throughput_rps,requests/s,5,8.166889,7.564384,9.64533,bootstrap_percentil_20000,calculado
omission,saga,400,5,tasa_confirmacion_checkout,proporcion,5,0.072386,0.029412,0.149871,bootstrap_percentil_20000,calculado
omission,saga,400,5,tasa_abortos_checkout,proporcion,5,0.927614,0.850129,0.970588,bootstrap_percentil_20000,calculado
omission,saga,400,5,inconsistencias,ordenes_o_eventos,5,162.0,83.0,234.0,bootstrap_percentil_20000,calculado
omission,saga,400,5,tasa_inconsistencia,proporcion,5,0.570423,0.324219,1.0,bootstrap_percentil_20000,calculado
omission,saga,400,5,convergencia_compensacion_ms,ms,3,21478060.601,12141161.201,30380923.601,bootstrap_percentil_20000,calculado
timing,2pc,50,5,latencia_p95_ms,ms,5,37000.0,34000.0,41000.0,bootstrap_percentil_20000,calculado
timing,2pc,50,5,throughput_rps,requests/s,5,2.440811,2.210457,2.589494,bootstrap_percentil_20000,calculado
timing,2pc,50,5,tasa_confirmacion_checkout,proporcion,5,1.0,0.940568,1.0,bootstrap_percentil_20000,calculado
timing,2pc,50,5,tasa_abortos_checkout,proporcion,5,0.0,0.0,0.059432,bootstrap_percentil_20000,calculado
timing,2pc,50,5,inconsistencias,ordenes_o_eventos,5,0.0,0.0,0.0,bootstrap_percentil_20000,calculado
timing,2pc,50,5,tasa_inconsistencia,proporcion,5,0.0,0.0,0.0,bootstrap_percentil_20000,calculado
timing,2pc,50,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
timing,saga,50,5,latencia_p95_ms,ms,5,33000.0,27000.0,34000.0,bootstrap_percentil_20000,calculado
timing,saga,50,5,throughput_rps,requests/s,5,2.621777,2.48222,2.928503,bootstrap_percentil_20000,calculado
timing,saga,50,5,tasa_confirmacion_checkout,proporcion,5,1.0,0.957895,1.0,bootstrap_percentil_20000,calculado
timing,saga,50,5,tasa_abortos_checkout,proporcion,5,0.0,0.0,0.042105,bootstrap_percentil_20000,calculado
timing,saga,50,5,inconsistencias,ordenes_o_eventos,5,7.0,0.0,395.0,bootstrap_percentil_20000,calculado
timing,saga,50,5,tasa_inconsistencia,proporcion,5,0.016548,0.0,1.0,bootstrap_percentil_20000,calculado
timing,saga,50,5,convergencia_compensacion_ms,ms,3,23024167.831,13375338.77,31768202.105,bootstrap_percentil_20000,calculado
timing,2pc,100,5,latencia_p95_ms,ms,5,68000.0,64000.0,73000.0,bootstrap_percentil_20000,calculado
timing,2pc,100,5,throughput_rps,requests/s,5,2.564586,2.382635,2.709139,bootstrap_percentil_20000,calculado
timing,2pc,100,5,tasa_confirmacion_checkout,proporcion,5,0.937947,0.78626,0.949749,bootstrap_percentil_20000,calculado
